"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"APA","Apache Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","3 stars"
"APD","Air Products and Chemicals Inc","Domestic","Materials","Chemicals","Industrial Gases","3 stars"
"APH","Amphenol Corp","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","3 stars"
"APTV","Aptiv PLC","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","3 stars"
"AR","Antero Resources Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"ARNC","Arconic Inc","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","3 stars"
"ARW","Arrow Electronics Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","4 stars"
"ASMIY","ASM International NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","3 stars"
"ASML","ASML Holding NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","2 stars"
"ASR","Grupo Aeroportuario del Sureste SAB de CV","International (ADR)","Industrials","Transportation Infrastructure","Airport Services","3 stars"
"ATI","Allegheny Technologies Inc","Domestic","Materials","Metals & Mining","Steel","5 stars"
"ATO","Atmos Energy Corp","Domestic","Utilities","Gas Utilities","Gas Utilities","2 stars"
"ATR","Aptargroup Inc","Domestic","Materials","Containers & Packaging","Metal & Glass Containers","2 stars"
"ATUS","Altice USA Inc","Domestic","Communication Services","Media","Cable & Satellite","3 stars"
"ATVI","Activision Blizzard Inc","Domestic","Communication Services","Entertainment","Interactive Home Entertainment","3 stars"
"AVB","AvalonBay Communities Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","3 stars"
"AVGO","Broadcom Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"AVT","Avnet Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","4 stars"
"AVVIY","Aviva PLC","International (ADR)","Financials","Insurance","Multi-line Insurance","5 stars"
"AVY","Avery Dennison Corp","Domestic","Materials","Containers & Packaging","Paper Packaging","2 stars"
"AWK","American Water Works Company Inc","Domestic","Utilities","Water Utilities","Water Utilities","1 star"
"AXAHY","AXA SA","International (ADR)","Financials","Insurance","Multi-line Insurance","4 stars"
"AXE","Anixter International Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","4 stars"
"AXP","American Express Co","Domestic","Financials","Consumer Finance","Consumer Finance","4 stars"
"AZN","AstraZeneca PLC","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"AZO","Autozone Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"AZPN","Aspen Technology Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"BA","Boeing Co","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"BABA","Alibaba Group Holding Ltd","International (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","3 stars"
"BAC","Bank of America Corp","Domestic","Financials","Banks","Diversified Banks","4 stars"
"BAESY","BAE Systems PLC","International (ADR)","Industrials","Aerospace & Defense","Aerospace & Defense","3 stars"
"BASFY","BASF SE","International (ADR)","Materials","Chemicals","Diversified Chemicals","4 stars"
"BAX","Baxter International Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","2 stars"
"BAYRY","Bayer AG","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"BB","BlackBerry Ltd","International (ADR)","Information Technology","Software","Systems Software","5 stars"
"BBBY","Bed Bath & Beyond Inc","Domestic","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","4 stars"
"BBD","Banco Bradesco SA","International (ADR)","Financials","Banks","Diversified Banks","3 stars"
"BBL","BHP Group PLC","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining","4 stars"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"BBY","Best Buy Co Inc","Domestic","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail","3 stars"
"BCE","BCE Inc","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"BCH","Banco de Chile","International (ADR)","Financials","Banks","Diversified Banks","3 stars"
"BCPC","Balchem Corp","Domestic","Materials","Chemicals","Specialty Chemicals","3 stars"
"BCS","Barclays PLC","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"BDX","Becton Dickinson and Co","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"BEN","Franklin Resources Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"BFB","Brown-Forman Corp","Domestic","Consumer Staples","Beverages","Distillers & Vintners","3 stars"
"BG","Bunge Ltd","Domestic","Consumer Staples","Food Products","Agricultural Products","4 stars"
"BHP","BHP Group Ltd","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining","3 stars"
"BIDU","Baidu Inc","International (ADR)","Communication Services","Interactive Media & Services","Interactive Media & Services","5 stars"
"BIIB","Biogen Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"BK","Bank of New York Mellon Corp","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"BKNG","Booking Holdings Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","4 stars"
"BKR","Baker Hughes Co","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"BL","Blackline Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"BLK","BlackRock Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"BLKB","Blackbaud Inc","Domestic","Information Technology","Software","Application Software","4 stars"
