"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"DVA","DaVita Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Services","3 stars"
"DXCM","DexCom Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","2 stars"
"E","Eni SpA","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"EA","Electronic Arts Inc","Domestic","Communication Services","Entertainment","Interactive Home Entertainment","3 stars"
"EBAY","eBay Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","3 stars"
"ECHO","Echo Global Logistics Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","4 stars"
"ECL","Ecolab Inc","Domestic","Materials","Chemicals","Specialty Chemicals","3 stars"
"ED","Consolidated Edison Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","3 stars"
"EFX","Equifax Inc","Domestic","Industrials","Professional Services","Research & Consulting Services","3 stars"
"EGHT","8x8 Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"EIX","Edison International","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"EL","Estee Lauder Companies Inc","Domestic","Consumer Staples","Personal Products","Personal Products","3 stars"
"EMN","Eastman Chemical Co","Domestic","Materials","Chemicals","Diversified Chemicals","5 stars"
"EMR","Emerson Electric Co","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","5 stars"
"ENIA","Enel Americas SA","International (ADR)","Utilities","Electric Utilities","Electric Utilities","4 stars"
"ENV","Envestnet Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"EOG","EOG Resources Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"EPD","Enterprise Products Partners LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"EQIX","Equinix Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","2 stars"
"EQNR","Equinor ASA","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"EQR","Equity Residential","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","3 stars"
"ERIC","Telefonaktiebolaget LM Ericsson","International (ADR)","Information Technology","Communications Equipment","Communications Equipment","4 stars"
"ES","Eversource Energy","Domestic","Utilities","Electric Utilities","Electric Utilities","1 star"
"ESRT","Empire State Realty Trust Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","5 stars"
"ESS","Essex Property Trust Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","3 stars"
"ET","Energy Transfer LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"ETFC","E*TRADE Financial Corp","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"ETN","Eaton Corporation PLC","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","4 stars"
"ETR","Entergy Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","1 star"
"ETRN","Equitrans Midstream Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"EV","Eaton Vance Corp","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"EVR","Evercore Inc","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","5 stars"
"EVRG","Evergy Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"EW","Edwards Lifesciences Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"EXC","Exelon Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"EXEL","Exelixis Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"EXPD","Expeditors International of Washington Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","2 stars"
"EXPE","Expedia Group Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","5 stars"
"EXPGY","Experian PLC","International (ADR)","Industrials","Professional Services","Research & Consulting Services","2 stars"
"EXR","Extra Space Storage Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","3 stars"
"F","Ford Motor Co","Domestic","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"FANG","Diamondback Energy Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
"FANUY","Fanuc Corp","International (ADR)","Industrials","Machinery","Industrial Machinery","4 stars"
"FAST","Fastenal Co","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","3 stars"
"FB","Facebook Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","4 stars"
"FBHS","Fortune Brands Home & Security Inc","Domestic","Industrials","Building Products","Building Products","3 stars"
"FCAU","Fiat Chrysler Automobiles NV","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"FDS","Factset Research Systems Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","1 star"
"FDX","FedEx Corp","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","4 stars"
"FE","FirstEnergy Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"FERGY","Ferguson PLC","International (ADR)","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","1 star"
"FEYE","FireEye Inc","Domestic","Information Technology","Software","Systems Software","3 stars"
"FFIV","F5 Networks Inc","Domestic","Information Technology","Communications Equipment","Communications Equipment","5 stars"
"FHI","Federated Hermes Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"FI","Franks International NV","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"FIS","Fidelity National Information Services Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","2 stars"
"FISV","Fiserv Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","2 stars"
"FITB","Fifth Third Bancorp","Domestic","Financials","Banks","Regional Banks","5 stars"
"FIVE","Five Below Inc","Domestic","Consumer Discretionary","Specialty Retail","Specialty Stores","3 stars"
"FIVN","Five9 Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"FLR","Fluor Corp","Domestic","Industrials","Construction & Engineering","Construction & Engineering","5 stars"
"FMC","FMC Corp","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals","4 stars"
"FMS","Fresenius Medical Care AG & Co KGaA","International (ADR)","Health Care","Health Care Providers & Services","Health Care Services","3 stars"
"FMX","Fomento Economico Mexicano SAB de CV","International (ADR)","Consumer Staples","Beverages","Soft Drinks","3 stars"
"FOX","Fox Corp","Domestic","Communication Services","Media","Broadcasting","4 stars"
"FOXA","Fox Corp","Domestic","Communication Services","Media","Broadcasting","4 stars"
"FRT","Federal Realty Investment Trust","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","4 stars"
"FSLR","First Solar Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"FTCH","Farfetch Ltd","International (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","4 stars"
"FTI","TechnipFMC PLC","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"FTNT","Fortinet Inc","Domestic","Information Technology","Software","Systems Software","4 stars"
"FTV","Fortive Corp","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"FWONA","Liberty Media Corp","Domestic","Communication Services","Media","Cable & Satellite","4 stars"
"FWONK","Liberty Media Corp","Domestic","Communication Services","Media","Cable & Satellite","3 stars"
"GD","General Dynamics Corp","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"GE","General Electric Co","Domestic","Industrials","Industrial Conglomerates","Industrial Conglomerates","4 stars"
"GGG","Graco Inc","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"GIB","CGI Inc","International (ADR)","Information Technology","IT Services","IT Consulting & Other Services","2 stars"
"GIL","Gildan Activewear Inc","International (ADR)","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","3 stars"
"GILD","Gilead Sciences Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"GIS","General Mills Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","3 stars"
"GLW","Corning Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","4 stars"
"GM","General Motors Co","Domestic","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"GNTX","Gentex Corp","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","2 stars"
"GOLD","Barrick Gold Corp","International (ADR)","Materials","Metals & Mining","Gold","2 stars"
"GOOG","Alphabet Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"GOOGL","Alphabet Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"GPC","Genuine Parts Co","Domestic","Consumer Discretionary","Distributors","Distributors","4 stars"
"GPI","Group 1 Automotive Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"GPN","Global Payments Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"GPOR","Gulfport Energy Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"GPS","Gap Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","5 stars"
"GRFS","Grifols SA","International (ADR)","Health Care","Biotechnology","Biotechnology","3 stars"
"GRMN","Garmin Ltd","Domestic","Consumer Discretionary","Household Durables","Consumer Electronics","3 stars"
"GRPN","Groupon Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","5 stars"
"GRUB","GrubHub Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","3 stars"
"GS","Goldman Sachs Group Inc","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"GSH","Guangshen Railway Co Ltd","International (ADR)","Industrials","Road & Rail","Railroads","5 stars"
"GSK","GlaxoSmithKline PLC","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"GTBIF","Green Thumb Industries Inc","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"GTT","GTT Communications Inc","Domestic","Information Technology","IT Services","Internet Services & Infrastructure","3 stars"
"GWW","W W Grainger Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","3 stars"
"H","Hyatt Hotels Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","4 stars"
"HAIN","Hain Celestial Group Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","3 stars"
"HAL","Halliburton Co","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"HAS","Hasbro Inc","Domestic","Consumer Discretionary","Leisure Products","Leisure Products","4 stars"
"HBAN","Huntington Bancshares Inc","Domestic","Financials","Banks","Regional Banks","5 stars"
"HBI","HanesBrands Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","5 stars"
"HCA","HCA Healthcare Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Facilities","3 stars"
"HCR","Hi-Crush Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"HD","Home Depot Inc","Domestic","Consumer Discretionary","Specialty Retail","Home Improvement Retail","2 stars"
"HDS","HD Supply Holdings Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","4 stars"
"HE","Hawaiian Electric Industries Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"HEINY","Heineken NV","International (ADR)","Consumer Staples","Beverages","Brewers","3 stars"
"HES","Hess Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","3 stars"
"HFC","HollyFrontier Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","5 stars"
"HLT","Hilton Worldwide Holdings Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","3 stars"
"HMC","Honda Motor Co Ltd","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","4 stars"
"HNP","Huaneng Power International Inc","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","4 stars"
"HOG","Harley-Davidson Inc","Domestic","Consumer Discretionary","Automobiles","Motorcycle Manufacturers","4 stars"
"HOLX","Hologic Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"HON","Honeywell International Inc","Domestic","Industrials","Industrial Conglomerates","Industrial Conglomerates","4 stars"
"HP","Helmerich and Payne Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Drilling","5 stars"
"HPE","Hewlett Packard Enterprise Co","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","4 stars"
"HPQ","HP Inc","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","3 stars"
"HRI","Herc Holdings Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","5 stars"
"HRL","Hormel Foods Corp","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"HSBC","HSBC Holdings PLC","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"HSIC","Henry Schein Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Distributors","4 stars"
"HST","Host Hotels & Resorts Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","4 stars"
"HSY","Hershey Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"HUBB","Hubbell Inc","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","4 stars"
"HUBG","Hub Group Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","3 stars"
"HUBS","HubSpot Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"HUM","Humana Inc","Domestic","Health Care","Health Care Providers & Services","Managed Health Care","3 stars"
"HVRRY","Hannover Rueck SE","International (ADR)","Financials","Insurance","Reinsurance","2 stars"
"IAC","IAC/InterActiveCorp","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"IBM","International Business Machines Corp","Domestic","Information Technology","IT Services","IT Consulting & Other Services","3 stars"
"ICE","Intercontinental Exchange Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","3 stars"
"ICLR","ICON PLC","International (ADR)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","2 stars"
"ICPT","Intercept Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"ICUI","ICU Medical Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Supplies","3 stars"
"IDXX","IDEXX Laboratories Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","1 star"
"IEX","IDEX Corp","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"IFF","International Flavors & Fragrances Inc","Domestic","Materials","Chemicals","Specialty Chemicals","4 stars"
"IFNNY","Infineon Technologies AG","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"IHG","InterContinental Hotels Group PLC","International (ADR)","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","3 stars"
"ILMN","Illumina Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"IMAX","Imax Corp","Domestic","Communication Services","Entertainment","Movies & Entertainment","5 stars"
"IMBBY","Imperial Brands PLC","International (ADR)","Consumer Staples","Tobacco","Tobacco","5 stars"
"INCY","Incyte Corp","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"INFO","IHS Markit Ltd","Domestic","Industrials","Professional Services","Research & Consulting Services","3 stars"
"INFY","Infosys Ltd","International (ADR)","Information Technology","IT Services","IT Consulting & Other Services","3 stars"
"ING","ING Groep NV","International (ADR)","Financials","Banks","Diversified Banks","5 stars"
"INGR","Ingredion Inc","Domestic","Consumer Staples","Food Products","Agricultural Products","5 stars"
"INTC","Intel Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"INTU","Intuit Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"INVH","Invitation Homes Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","3 stars"
"IONS","Ionis Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","3 stars"
"IP","International Paper Co","Domestic","Materials","Containers & Packaging","Paper Packaging","4 stars"
"IPG","Interpublic Group of Companies Inc","Domestic","Communication Services","Media","Advertising","4 stars"
"IQV","IQVIA Holdings Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"IR","Ingersoll Rand Inc","Domestic","Industrials","Machinery","Industrial Machinery","5 stars"
"ISNPY","Intesa Sanpaolo SpA","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"ISRG","Intuitive Surgical Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","2 stars"
"ITT","ITT Inc","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"ITUB","Itau Unibanco Holding SA","International (ADR)","Financials","Banks","Diversified Banks","3 stars"
"ITW","Illinois Tool Works Inc","Domestic","Industrials","Machinery","Industrial Machinery","2 stars"
"IVZ","Invesco Ltd","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"J","Jacobs Engineering Group Inc","Domestic","Industrials","Construction & Engineering","Construction & Engineering","3 stars"
"JAZZ","Jazz Pharmaceuticals PLC","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"JBAXY","Julius Baer Gruppe AG","International (ADR)","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"JBHT","J B Hunt Transport Services Inc","Domestic","Industrials","Road & Rail","Trucking","3 stars"
"JBT","John Bean Technologies Corp","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"JCI","Johnson Controls International PLC","Domestic","Industrials","Building Products","Building Products","4 stars"
"JD","JD.com Inc","International (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","4 stars"
"JHG","Janus Henderson Group PLC","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"JKHY","Jack Henry & Associates Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","2 stars"
"JLL","Jones Lang LaSalle Inc","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services","4 stars"
"JNJ","Johnson & Johnson","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"JNPR","Juniper Networks Inc","Domestic","Information Technology","Communications Equipment","Communications Equipment","3 stars"
"JPM","JPMorgan Chase & Co","Domestic","Financials","Banks","Diversified Banks","4 stars"
"JWA","John Wiley & Sons Inc","Domestic","Communication Services","Media","Publishing","4 stars"
"JWN","Nordstrom Inc","Domestic","Consumer Discretionary","Multiline Retail","Department Stores","5 stars"
"K","Kellogg Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"KBR","KBR Inc","Domestic","Information Technology","IT Services","IT Consulting & Other Services","4 stars"
"KDDIY","KDDI Corp","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","3 stars"
"KDP","Keurig Dr Pepper Inc","Domestic","Consumer Staples","Beverages","Soft Drinks","3 stars"
"KEX","Kirby Corp","Domestic","Industrials","Marine","Marine","4 stars"
"KEY","KeyCorp","Domestic","Financials","Banks","Regional Banks","5 stars"
"KGC","Kinross Gold Corp","International (ADR)","Materials","Metals & Mining","Gold","3 stars"
"KGFHY","Kingfisher PLC","International (ADR)","Consumer Discretionary","Specialty Retail","Home Improvement Retail","5 stars"
"KHC","Kraft Heinz Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","5 stars"
"KIM","Kimco Realty Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","4 stars"
"KKPNY","Koninklijke KPN NV","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"KLAC","KLA Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","3 stars"
"KMB","Kimberly-Clark Corp","Domestic","Consumer Staples","Household Products","Household Products","2 stars"
"KMI","Kinder Morgan Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","4 stars"
"KMTUY","Komatsu Ltd","International (ADR)","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"KMX","Carmax Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"KNX","Knight-Swift Transportation Holdings Inc","Domestic","Industrials","Road & Rail","Trucking","3 stars"
"KO","Coca-Cola Co","Domestic","Consumer Staples","Beverages","Soft Drinks","4 stars"
"KOF","Coca-Cola Femsa SAB de CV","International (ADR)","Consumer Staples","Beverages","Soft Drinks","5 stars"
"KR","Kroger Co","Domestic","Consumer Staples","Food & Staples Retailing","Food Retail","2 stars"
"KRC","Kilroy Realty Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","4 stars"
"KSS","Kohls Corp","Domestic","Consumer Discretionary","Multiline Retail","Department Stores","5 stars"
"KSU","Kansas City Southern","Domestic","Industrials","Road & Rail","Railroads","3 stars"
"KT","KT Corp","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"KYOCY","Kyocera Corp","International (ADR)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","4 stars"
"LAD","Lithia Motors Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","2 stars"
"LAZ","Lazard Ltd","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"LB","L Brands Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","5 stars"
"LBTYA","Liberty Global PLC","International (ADR)","Communication Services","Media","Cable & Satellite","5 stars"
"LEA","Lear Corp","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","4 stars"
"LECO","Lincoln Electric Holdings Inc","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"LEN","Lennar Corp","Domestic","Consumer Discretionary","Household Durables","Homebuilding","4 stars"
"LFUS","Littelfuse Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","4 stars"
"LH","Laboratory Corporation of America Holdings","Domestic","Health Care","Health Care Providers & Services","Health Care Services","3 stars"
"LII","Lennox International Inc","Domestic","Industrials","Building Products","Building Products","2 stars"
"LIN","Linde PLC","Domestic","Materials","Chemicals","Industrial Gases","3 stars"
"LIVN","LivaNova PLC","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"LKQ","LKQ Corp","Domestic","Consumer Discretionary","Distributors","Distributors","4 stars"
"LLY","Eli Lilly and Co","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"LM","Legg Mason Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","3 stars"
"LMT","Lockheed Martin Corp","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"LN","Line Corp","International (ADR)","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"LNG","Cheniere Energy Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","4 stars"
"LNT","Alliant Energy Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"LOW","Lowe's Companies Inc","Domestic","Consumer Discretionary","Specialty Retail","Home Improvement Retail","3 stars"
"LPI","Laredo Petroleum Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
"LPLA","LPL Financial Holdings Inc","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"LPX","Louisiana-Pacific Corp","Domestic","Materials","Paper & Forest Products","Forest Products","2 stars"
"LRCX","Lam Research Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","3 stars"
"LSTR","Landstar System Inc","Domestic","Industrials","Road & Rail","Trucking","3 stars"
"LTHM","Livent Corp","Domestic","Materials","Chemicals","Specialty Chemicals","4 stars"
"LULU","Lululemon Athletica Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","2 stars"
"LUV","Southwest Airlines Co","Domestic","Industrials","Airlines","Airlines","4 stars"
"LVS","Las Vegas Sands Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","4 stars"
"LW","Lamb Weston Holdings Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"LYFT","Lyft Inc","Domestic","Industrials","Road & Rail","Trucking","4 stars"
"LYG","Lloyds Banking Group PLC","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"LYV","Live Nation Entertainment Inc","Domestic","Communication Services","Entertainment","Movies & Entertainment","4 stars"
"M","Macy's Inc","Domestic","Consumer Discretionary","Multiline Retail","Department Stores","5 stars"
"MA","Mastercard Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"MAC","Macerich Co","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","5 stars"
"MAN","ManpowerGroup Inc","Domestic","Industrials","Professional Services","Human Resource & Employment Services","4 stars"
"MAR","Marriott International Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","4 stars"
"MAS","Masco Corp","Domestic","Industrials","Building Products","Building Products","4 stars"
"MASI","Masimo Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"MAT","Mattel Inc","Domestic","Consumer Discretionary","Leisure Products","Leisure Products","5 stars"
"MCD","Mcdonald's Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"MCHP","Microchip Technology Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"MCK","McKesson Corp","Domestic","Health Care","Health Care Providers & Services","Health Care Distributors","3 stars"
"MCO","Moody's Corp","Domestic","Financials","Capital Markets","Financial Exchanges & Data","3 stars"
"MDLZ","Mondelez International Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","3 stars"
"MDRX","Allscripts Healthcare Solutions Inc","Domestic","Health Care","Health Care Technology","Health Care Technology","4 stars"
"MDT","Medtronic PLC","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","4 stars"
"MELI","Mercadolibre Inc","International (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","2 stars"
"MET","MetLife Inc","Domestic","Financials","Insurance","Life & Health Insurance","4 stars"
"MFC","Manulife Financial Corp","International (ADR)","Financials","Insurance","Life & Health Insurance","4 stars"
"MFG","Mizuho Financial Group Inc","International (ADR)","Financials","Banks","Diversified Banks","3 stars"
"MGA","Magna International Inc","International (ADR)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","4 stars"
"MGM","MGM Resorts International","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","5 stars"
"MHK","Mohawk Industries Inc","Domestic","Consumer Discretionary","Household Durables","Home Furnishings","4 stars"
"MKC","McCormick & Company Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","1 star"
